Year,Month,Day,Country,Province,Region,city,latitude,longitude,AttackType,Killed,Wounded,Target,Group,Target_type,Weapon_type,Casualties,Date
1974,12,9,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,2,USIS Center,Unknown,Government (Diplomatic),Explosives,2,1974-09-12
1975,0,0,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,0,0,Pakistan Airlines Boeing 707,Unknown,Airports & Aircraft,Explosives,0,
1975,2,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Assassination,1,0,"Hayat Mohammed Khan Sherpao, home minister",National Awami Party,Government (General),Firearms,1,1975-08-02
1976,10,11,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,1,2,Syrian Embassy,Abu Nidal Organization (ANO),Government (Diplomatic),Firearms,3,1976-11-10
1978,8,5,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,4,0,Palestine Liberation Org. office,Abu Nidal Organization (ANO),Terrorists/Non-State Militia,Firearms,4,1978-05-08
1979,6,26,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Unarmed Assault,0,2,Embassy card,Unknown,Government (Diplomatic),Melee,2,
1980,5,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,17,18,Police station,Kabul Government Agents,Police,Explosives,35,1980-08-05
1981,9,25,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Assassination,2,2,Chaudly Yahur Elahi and unk (former minister and drived of vehicle),Al-Zulfikar,Government (General),Firearms,4,
1982,8,2,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,8,Lahore Airport,Al-Zulfikar,Airports & Aircraft,Explosives,8,1982-02-08
1983,2,19,Pakistan,Punjab,South Asia,Unknown,31.090612,72.35952,Bombing/Explosion,0,0,Home of honorary French consul,Unknown,Government (Diplomatic),Explosives,0,
1983,7,6,Pakistan,Sindh,South Asia,Sukkur,27.706604,68.848197,Armed Assault,8,8,Police van loaded with prisoners,Unknown,Police,Unknown,16,1983-06-07
1983,8,14,Pakistan,Sindh,South Asia,Dadu,26.72357,67.769319,Bombing/Explosion,0,1,Office of the support Zia Movement,Unknown,Police,Explosives,1,
1983,9,14,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,0,0,In a toilet of city (near a cinema),Al-Zulfikar,Private Citizens & Property,Explosives,0,
1983,10,25,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,2,17,Bhatigate Chowk (always crowded),Unknown,Private Citizens & Property,Explosives,19,
1984,7,28,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,6,20,Headquarters of Afghan rebel group,Unknown,Terrorists/Non-State Militia,Explosives,26,
1984,7,28,Pakistan,Federally Administered Tribal Areas,South Asia,Sadda,33.703938,70.328651,Bombing/Explosion,6,29,Unknown,Unknown,Private Citizens & Property,Explosives,35,
1986,3,27,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,4,17,Afghan refugee hostel (Nasir Hotel),Unknown,Business,Explosives,21,
1986,4,20,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,0,Airline ticket office (BA),Unknown,Airports & Aircraft,Explosives,0,
1986,5,6,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,2,2,House,Unknown,Private Citizens & Property,Explosives,4,1986-06-05
1986,5,30,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,0,7,Home,Unknown,Private Citizens & Property,Explosives,7,
1986,6,7,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,5,40,Jissa Khawani Bazaar,Unknown,Private Citizens & Property,Explosives,45,1986-07-06
